Multi Centra Alkesindo,5,1,"Grahapena Building, Jalan A Yani no. 88, Kelurahan Ketintang, Kecamatan Gayugan Floor 16 No. 1604, Ketintang, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJlchSGzD71y0RistmUQqn2DE
PT Citra Margatama Surabaya,4.5,62,"Jl. Wisata Menanggal No.21, Dukuh Menanggal, Surabaya",http://www.cms.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJmZ-3xXX81y0RhukNfVxCaJQ
PT. BAHTERA ANUGERAH INDONESIA,4.8,4,"Jl. Jojoran III No.41, Mojo, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJo6dDPC361y0RIrGBiWXJbo0
PT Yuwana Catur Manunggal - Jawa Timur Area,4.5,40,"Jl. Raya Surabaya - Malang No.km51, RW.4, Mekar Raya Binangun, Janti, Pasuruan",,https://www.google.com/maps/place/?q=place_id:ChIJU5Int0r71y0RMi9YHHgXz7k
PT BERJAYA LANCAR TERUS BLOK H 33,4.5,10,"H, Jl. Kencanasari Timur II No.33 blok h, Gn. Sari, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJz0NFwIj71y0RlLiAIvvcQww
PT. Bisma Citra Nusantara,4.7,3,"Jl.Wisma Pagesangan II No.24, RT002 RW 004 Kota SBY, Pagesangan, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJr6aw-1f71y0RijBpVvizabM
Panatronics. PT - Surabaya,0,0,"Jl. Simpang Dukuh No.38-40 Ruko Andika Plaza Blok B 38 AA, Genteng, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJ132j2Gb51y0RRqojN2a1jXU
PT. Jakarta Raya Golden Industri,4.3,7,"Kawasan SIER Jalan Rungkut Industri III No. 25 Gunung Anyar, Kutisari, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJhdLbiNj61y0RgZIOToK0jpc
PT Pelabuhan Terakhir Langgeng Sejahtera,5,18,"Jl. Lombok No.22, Ngagel, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJj9jYrFr71y0R6htnvqpCxIo
PT. Gawih Jaya (Wismilak Group),4.4,43,"Komplek Pergudangan Tanjungsari Mas Blok D1-D2, Jalan Tanjungsari, Sukomanunggal, Tanjungsari, Surabaya",http://www.wismilak.com/,https://www.google.com/maps/place/?q=place_id:ChIJ4VuozKL-1y0Rn1qw6s2c6Kc
PT. Adi CitraMakmur,5,2,"MP26+6WQ, Jl. Ketegan Barat Gang III, Ketegan, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJy7-1DZPj1y0RauEALn7j8lQ
PT. NIKITA SAKA,4,4,"Jl. Kolonel Sugiono No.35, Ngingas, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ422TScnk1y0RBPprm7clWak
PT Asia Lian Tan,4.7,3,"MPVV+CX3 泗水 City, Bendul Merisi, Surabaya",http://www.joss-sticks.com/,https://www.google.com/maps/place/?q=place_id:ChIJTzHKUqf71y0R1RsE3z1xf8s
PT. Mikatasa Agung Head Office,4.8,76,"Jl. Rungkut Industri I No.15, Kendangsari, Surabaya",http://www.mikatasa.com/,https://www.google.com/maps/place/?q=place_id:ChIJsyW6CCL71y0RWYRN41JwSgM
PT Trijaya Corporation,4.4,5,"No., Jl. Ketintang Madya No.167, Karah, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJ7StwhWT71y0RSp0GwNsd-KE
PT. Alvindo,4.7,22,"C No. 601, Jl. Margorejo Indah XIV, Margorejo, Surabaya",http://alvindo.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJXYMGexL71y0RVRsEUB8bJkI
PT. Intecs Teknikatama Industri,5,6,"Puncak CBD ruko Mall 9i, Jl. Keramat I, Jajar Tunggal, Surabaya",http://intecs.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJvTuocWP71y0RUhBkjA6ksIQ
PT.Catur Putra Surya,1.2,318,"Jl. Rungkut Industri III No.36, Rungkut Menanggal, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJL71P7CX71y0RgbRNoBFlL9k
PT. Internasional Raya Pengembang,0,0,"Jl. Darmo Permai Sel. I No.50, Pradahkalikendal, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJQfVzBz381y0RG3mKJKbwcVc
PT Hanjaya Mandala Sampoerna Tbk,4.4,866,"Jl. Rungkut Industri Raya No.18, Kali Rungkut, Surabaya",http://www.sampoerna.com/,https://www.google.com/maps/place/?q=place_id:ChIJWR489d_61y0Rr36k00Sm8Sg
PT Siantar Top Tbk,4,424,"Jl. Tambak Sawah No.21-23, Jabon, Tambakrejo, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ44G9GCXl1y0RPeF5SKj10TQ
PT. Cakra Megah Perdana,4.6,269,"MPP5+JVH pt cakra, Kedurus, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJx72wT4H81y0RZlZYIgNHBcM
PT. ORELA SHIPYARD,4.8,44,"Jl. WR. Supratman No.23, DR. Soetomo, Surabaya",http://www.orela.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJKUMpxOn71y0RC-MY3uQcuU4
PT. Pelayaran Nasional Ekalya Purnamasari Tbk,4.5,63,"Jl. WR. Supratman No.23, DR. Soetomo, Surabaya",https://pnep.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJ7bBGw-n71y0RrGePSj9fHeM
PT HEINZ ABC INDONESIA,3.9,81,"Jl. Rungkut Industri III No.39-43, Rungkut Menanggal, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJrUEhzyf71y0RqJm44px3XgY
Gedung Griyo Mapan,4.4,54,"Jl. M. Jasin Jl. Polisi Istimewa No.30, Keputran, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJN5zMS8L71y0Rn9-CUmkM8ng
PT. Central Jasatama Indonesia,4.6,21,"Jl. Sidosermo I No.2A, Sidosermo, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJCxmulqf71y0RI_kkZv2QzxA
PT Berhasil Indonesia Gemilang,4.7,35,"Jl. Dr. Ir. H. Soekarno No.531, Penjaringan Sari, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJUT7a4G771y0R9Hig2fACCzo
PT PERSONEL ALIH DAYA . PERSADA SURABAYA,4.8,30,"Jl. Sidosermo Airdas RUKO SOHO 6-7, Sidosermo, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJ7QaaFVz71y0RTgBlhPKHzZM
PT Surabaya Industrial Estate Rungkut,4.4,2674,"Jl. Rungkut Industri Raya No.10, Rungkut Tengah, Surabaya",https://sier.id/,https://www.google.com/maps/place/?q=place_id:ChIJb1ABzCD71y0RIxe6IvXP0yc
PT. Lawangmas Primapack Indonesia,4.7,49,"Jl. Manyar Kertoarjo Gg. 4 No.35, Mojo, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJyVc_UDL61y0Rbk4A790h7yU
PT. Paradigma Nusantara Membangun (Studio),4.6,8,"Jl. Pagesangan Asri II No.1, Pagesangan, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJRTHfs6f81y0Ro9EfBzNxl6E
PT. Tatacipta Teknologi Indonesia (PT. TATI),5,26,"Jl. Dr. Ir. H. Soekarno No.247, Semolowaru, Surabaya",http://www.pttati.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJf8B0F8j71y0RP-YhdCBOz6Y
PT. ASABA SURABAYA,4.5,34,"Jl. Taman AIS Nasution No.39, Embong Kaliasin, Surabaya",http://asaba-indo.com/,https://www.google.com/maps/place/?q=place_id:ChIJq9PlXt_71y0RiCMMABXko1o
PT Miura Indonesia,5,7,"Jl. Mayjen Sungkono Ruko No.154 Unit H, Dukuh Pakis, Surabaya",http://miura.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJTa26BBz71y0RTMp8BteU3ig
PT. YAKULT INDONESIA PERSADA SURABAYA,4.5,58,"Jl. Raya Kletek No.166-168, Menyanggong, Kletek, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJNX-UWTDj1y0RQj6eIryB5Hk
Sekar Group,4.7,73,"Jl. Raya Darmo No.23-25, Keputran, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJyUA1WML71y0RiiKO61La_Qk
PT. Kertopaten Kencana,4.6,28,"Jl. Ambengan No.20, Ketabang, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJOVu_e2_51y0RDIXZc-ZJIO0
PT. Fishnesia Mitra Bersama,4.9,15,"Jl. Rungkut Industri III No.75, Rungkut Tengah, Surabaya",http://www.fishnesia.com/,https://www.google.com/maps/place/?q=place_id:ChIJw73cl9j61y0RA3OtJ_MZ7uU
PT Sumber Cipta Multiniaga (RSO Surabaya),4.5,167,"Jl. Kedung Doro No.34, Sawahan, Surabaya",https://djarum.com/,https://www.google.com/maps/place/?q=place_id:ChIJVUDYv1v51y0RAeridhJHmE4
PT Prima Indojaya Mandiri,4.5,21,"Jl. Raya Dukuh Kupang No.93, Pakis, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJQ5iT-fX71y0RZv_KLUzfPzo
PT. Mitra Caraka Paramitha,4.9,8,"Komp. Darmo Square, B-9, Ruko, Jl. Raya Darmo No.56, DR. Soetomo, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJeYV2MhD71y0R1m6N_T8_N9A
PT. ANTARMITRA SEMBADA,4.6,24,"Jl. Balas Klumprik No.118, Balas Klumprik, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJh_LRbsD81y0RwYgQTOaUchA
pt total cipta persada,4.7,29,"Jl. Raya Wisma Pagesangan No.115, Pagesangan, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJK3v9BFj71y0Rm31VMd-semw
PT Cahaya Indocompress Pahala Satria,5,8,"Gg. Mangga, Kebraon, Surabaya",http://cips.web.indotrading.com/compressorparts-88585,https://www.google.com/maps/place/?q=place_id:ChIJ-39axfD81y0RTk6_jFUnENw
PT. Danan Anugrah Sejahtera,5,2,"Perum, Jl. Taman Permata Indah No.D24-25, Kalijaten Timur, Kalijaten, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJucqGmgfj1y0RR4u_Hvclg-I
PT. MERRINDO TOTAL SOLUSI,4.8,4,"Jl. Kh.Misbakh No.08, DR. Soetomo, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJWd44ncL71y0RCHIJ7Ik5bhA
PT. OPMC INDONESIA,4.7,23,"Jl. Kalibutuh No.152, RT.006/RW.03, Tembok Dukuh, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJyVD61tn51y0R-Nx9h9Lxq0k
PT.BRANTAS ABIPRAYA SURABAYA,4.5,17,"MP5J+HV6, Jl. Kertomenanggal VI, Dukuh Menanggal, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJW0mA0E771y0RRctbtey2MVo
PT. Graha Ksatria Envirotama (IPAL & INCINERATOR GREEN LEAF),4.7,28,"Rungkut Asri VIII No.4, Kali Rungkut, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJz-5HQ9361y0R2xF40dmtk30
"PT. Esandar Arthamas Berjangka, cabang Surabaya",4.6,30,"Jl. Diponegoro No.58, DR. Soetomo, Surabaya",http://www.esandar.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJQRjy2t371y0RvIChw8SHRIc
PT Keikira Bersama Nusantara,5,4,"Jl. Embong Malang No.1, Kedungdoro, Surabaya",,https://www.google.com/maps/place/?q=place_id:ChIJBRctV2f51y0RHSZx6q09WOw
PT. ROBUTECH,4.9,73,"Jl. Semolowaru Selatan V No.25, Semolowaru, Surabaya",http://www.robutech.com/,https://www.google.com/maps/place/?q=place_id:ChIJseaxnln61y0RampW7DyYBqM
PT Beauty Kasatama Indonesia,5,3,"Jl. Raya Darmo No.54-56 Blok B8, DR. Soetomo, Surabaya",https://www.beautykasatama.com/,https://www.google.com/maps/place/?q=place_id:ChIJVYLcInr71y0RTVzILB8uT84
PT. Bandartrisula Surabaya,4.5,30,"Jl. Petemon Kali No.58, Petemon, Surabaya",http://www.atlanticoceanpaint.com/,https://www.google.com/maps/place/?q=place_id:ChIJddLNH1f51y0RCRNEfMSfYvU
PT Citra Karya Terpercaya,4.6,34,"Perumahan Jaya Maspion Permata No.3 Blok A2, Dusun Bangah Timur, Bangah, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJjz9Celzl1y0R4RWP967WS_s
PT. Surindo Teguh Gemilang - HQ | Corrugated Box,4.7,17,"Jl. Margorejo Indah No.A-114, Margorejo, Surabaya",http://www.teguhgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJmc3rnhL71y0R8K5SRb1XTb0
PT EDMAR MANDIRI JAYA,5,5,"Jl. Kertomenanggal III No.4 and. 7, Dukuh Menanggal, Surabaya",http://edmarmandiri.com/,https://www.google.com/maps/place/?q=place_id:ChIJ-02T7U771y0RA6YAecFAoUI
PT.Selindo Mitra Sejahtera,5,15,"Jl. Perumahan Taman Pd. Legi 5 Q No.12, Legi, Pepelegi, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJv1fqdqDj1y0Ruvsp5QSgSPU
PT.,1,1,"Jl. Raya Sidokerto No.69, Tlogo, Sidokerto, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJCaB612jn1y0RKpBbdH05HOY
PT,5,1,"HM32+GHX, Pilang, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJr-z3AQDh1y0R4m-BFeh8tFA
PT. PARAGON INTI SEJAHTERA,0,0,"HM6V+Q47, Sumput, Sidoarjo Regency",https://www.bangunjayaperkasa.com/,https://www.google.com/maps/place/?q=place_id:ChIJRcZqXUbh1y0RnKFf0V4rMEE
Kantor PTABU / PT.MBB.,0,0,"HP45+PJ2, Gg. Buntu, Gajah Timur, Magersari, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJi6eDw1_h1y0RbUDc_XPyKEg
PT. Pandungo Mitra Utama,0,0,"Jl. Raya Kludan No.02/03, Kludan, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJuWiu6brg1y0RA0S6GxOReW0
PT. Surya Timur Artha Rajasa (PT.STAR),4.3,6,"Jalan Kapasan No. 17 RT 21 RW 05, Cangkring, Sidokare, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ9QZDvzHh1y0RMY2mW1V7NlM
PT INTEKINDO,4.7,3,"HP32+9V3, Jati, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJMS9jFkbh1y0RMZ7LBZRPbKk
PT. TENSAN INDONESIA,4.2,138,"Jl. Kahuripan Raya Kav. 16 Jati, Sumput, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJrSvrIeDj1y0R0FatQDmxm5Q
PT MAS,0,0,"JQ43+XW9, Dusun Gemurung Kidul, Gemurung, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJYZqbMVHk1y0RD2XgGT8zuis
PT. TBK Sidoarjo,3.5,2,"GQP3+758, Rangkah Kidul, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJXRDx7Pzm1y0R0055TzPXl4s
PT. Sanjaya Mitra Mulya,5,1,"Griya Permata Gedangan Blok i1 No. 05, RT.001/RW.007, Keboansikep, Gedangan, Sikep, Keboansikep, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJt9WFaYDk1y0Rz90vNjD469E
PT pintu mas,0,0,"Jl. Raya Banar Pilang No.1, Pilang, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJDwhSMq3h1y0RItWqqpW1Lr0
PT. PRIMA TOTAL SAINTIFIKA,5,4,"Perum. Griya Permata Gedangan Blok B1 No. 6, Sikep, Keboansikep, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJHw31a37j1y0R6_RC7PjZJZk
PT PUTRA DELTA ABADI,0,0,"Ruko surya square blok AA 19, Balumn, Sidodadi, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJswupURTh1y0Rb2xEnitL1vE
PT. JAE,4.5,21,"Jl. Panjunan No.49, Sukadono, Sukodono, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJrZ3KLQTj1y0RObmvnwTsBG8
PT. Tjipto Langgeng Abadi,4.7,3,"Jl. Surowongso No.121, Rw. 8, Karangbong, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ1WbCIHXk1y0RlVrCGvP5jV8
PT. Central Sahabat Baru,4,2,"Jl. Raya Sukodono No.9, Sukadono, Sukodono, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ_zgGbnnj1y0RIndjRjTGCzc
PT PRADASA,5,1,"Perumahan Pucang Permai, Jl. Jenggolo IIC Blok AB No. 22, Pucang, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJR1WV6aDn1y0RVGWhA1lmpe8
PT Yasinta Mitra Mandiri,3.8,10,"GMWW+7HJ, Banjarpoh, Banjarbendo, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJYVSxk0fh1y0R0awB8tHZDkY
PT. PANCADAYA MANUNGGALSENTOSA. PT,5,1,"Jln. Lingkar Timur Km 5.5, Komp. Industri dan Pergudangan Safe n Lock Blok Block Ai No. 5901, Rangkah Kidul, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJj4JeuNHn1y0R1JfcwjJ9vOE
PT. SUNSTREAM INDONESIA (SURABAYA),0,0,"Pergudangan Safe & Lock Blok AJ5920, Jalan Lingkar Timur No.KM 5.5, Rangkah Kidul, Kabupaten Sidoarjo",http://www.sunstream-industries.com/,https://www.google.com/maps/place/?q=place_id:ChIJ60oeIt7n1y0REpguSHiz_qo
PT. Rizky Jaya Energy Group,5,6,"Jalan Lingkar Timur No.170A, Wadung, Wadungasih, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJNaSZJp_n1y0Rhw2SncGw8EU
PT.Tarunakusuma Purinusa TKPN Surabaya,3.6,10,"Komplek Pergudangan Tanrise Westgate B.45, Jalan Jenggolo, Gedangan, Dusun Gemurung Kidul, Gemurung, Kabupaten Sidoarjo",http://www.selectioncotton.com/,https://www.google.com/maps/place/?q=place_id:ChIJSYuKqTGEcC4RlKPxIvJO_zM
PT. Kencana Lintasindo Internasional (KLI),3.7,6,"GPQP+V83, Rangkah Kidul, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJDcEa4dzm1y0RIgJ2pLZSG84
PT. Sila Sukses Bersama,5,3,"Jl. Mutiara Tim. IV No.20, Banjarbendo, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJSVt2WmDh1y0R866iI-QJfkA
"PT. Garda Ata Perkasa, Head Office",4.7,19,"GMVH+8GM, Sudo, Sidodadi, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ_Re4D7Dh1y0Rk55jnzl1zGQ
Garasi PT Pusaka,5,1,"Rw. 9, Karangbong 199, Rw. 9, Karangbong, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJy6E59WLj1y0R7S54qLebviU
PT. SINAREKPUTRA JATIM,0,0,"Pergudangan Safe N' Lock Blok K1719-K1721, Jalan Lingkar Timur, Rangkah Kidul, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ6duGSJHn1y0RMV3EeUWCcF0
Pt Kurnia Aneka Gemilang,4.6,5,"JQ84+W23, Jl. Raya Bandara Juanda No.5, Dukuh, Sedati Agung, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJF1sRb_nk1y0RBUDvKnXEgu4
PT. Yahata Industry Indonesia,4.3,33,"Komplek Pergudangan & Industri Safe N Lock Blok T-1889, Jl. Lkr. Timur No.Km, RW.5, Rangkah Kidul, Sidoarjo Regency",http://www.yahata-net.com/eng/index.html,https://www.google.com/maps/place/?q=place_id:ChIJ-SeWy_zm1y0RsbycoNDjIbQ
